,index,x,y,z,SegmentationRegionSlice
259,69,-239.53125,-239.53125,-1123.5,AOI
260,0,-239.53125,-239.53125,-1122.0,AOI
261,64,-239.53125,-239.53125,-1120.5,AOI
262,137,-239.53125,-239.53125,-1119.0,AOI
263,197,-239.53125,-239.53125,-1117.5,AOI
264,266,-239.53125,-239.53125,-1116.0,AOI
265,204,-239.53125,-239.53125,-1114.5,AOI
266,835,-239.53125,-239.53125,-1113.0,AOI
267,788,-239.53125,-239.53125,-1111.5,AOI
268,136,-239.53125,-239.53125,-1110.0,AOI
269,200,-239.53125,-239.53125,-1108.5,AOI
270,262,-239.53125,-239.53125,-1107.0,AOI
271,206,-239.53125,-239.53125,-1105.5,AOI
272,132,-239.53125,-239.53125,-1104.0,AOI
273,66,-239.53125,-239.53125,-1102.5,AOI
274,3,-239.53125,-239.53125,-1101.0,AOI
275,63,-239.53125,-239.53125,-1099.5,AOI
276,666,-239.53125,-239.53125,-1098.0,AOI
277,721,-239.53125,-239.53125,-1096.5,AOI
278,339,-239.53125,-239.53125,-1095.0,AOI
279,269,-239.53125,-239.53125,-1093.5,AOI
280,342,-239.53125,-239.53125,-1092.0,AOI
281,406,-239.53125,-239.53125,-1090.5,AOI
282,479,-239.53125,-239.53125,-1089.0,AOI
283,547,-239.53125,-239.53125,-1087.5,AOI
284,474,-239.53125,-239.53125,-1086.0,AOI
285,414,-239.53125,-239.53125,-1084.5,AOI
286,661,-239.53125,-239.53125,-1083.0,AOI
287,614,-239.53125,-239.53125,-1081.5,AOI
288,482,-239.53125,-239.53125,-1080.0,AOI
289,546,-239.53125,-239.53125,-1078.5,AOI
290,475,-239.53125,-239.53125,-1077.0,AOI
291,411,-239.53125,-239.53125,-1075.5,AOI
292,336,-239.53125,-239.53125,-1074.0,AOI
293,270,-239.53125,-239.53125,-1072.5,AOI
294,341,-239.53125,-239.53125,-1071.0,AOI
295,409,-239.53125,-239.53125,-1069.5,AOI
296,477,-239.53125,-239.53125,-1068.0,AOI
297,410,-239.53125,-239.53125,-1066.5,AOI
298,551,-239.53125,-239.53125,-1065.0,AOI
299,609,-239.53125,-239.53125,-1063.5,AOI
300,662,-239.53125,-239.53125,-1062.0,AOI
301,612,-239.53125,-239.53125,-1060.5,AOI
302,781,-239.53125,-239.53125,-1059.0,AOI
303,723,-239.53125,-239.53125,-1057.0,AOI
304,670,-239.53125,-239.53125,-1055.5,AOI
